Item Name,Rarity,"Keep, Sell, or Recycle",Recycle For,Keep For,Sell Price,,SOURCE,Updated: 03/03/2026,Compatible Patch Ver: 1.18.0,Link to Steam Discussion Board Post
Battery,Uncommon,Keep,2x Metal Parts,,250,,Really Awesome Cheat Sheet by u/pRoDeeD (only compatible for November 2025 [pre-Cold Snap]),,,
Bombardier Cell,Epic,"Keep upgrade and Trophy Display; 
Sell once done","2x Advanced Mechanical Components, 2x ARC Alloys","6x for Refiner III Upgrades;
8x for Trophy Display Stage 5",5000,,In-game tool by Pabos,,,
Canister,Uncommon,Keep,3x Plastics Parts,,300,,Be sure to follow the instructions in the GitHub to get it setup!,,,
Cat Bed,Uncommon,Keep until upgrade is complete; sell once done,,1x for Scrappy Level IV Upgrades,1000,,,,,
Chemicals,Common,Keep,,,50,,,,,
Complex Gun Parts,Epic,Keep,2x Simple Gun Parts,,2000,,,,,
Cooling Fan,Rare,KEEP FOR EXPEDITION MATS; Sell after,"14x Plastic Parts, 4x Wires",5x Expedition Stage 2,2000,,,,,
Cracked Bioscanner,Rare,Keep until upgrade is complete; sell or recycle once done,"3x Rubber Parts, 3x Battery",2x for Medical Lab II Upgrade,1000,,,,,
Crude Explosives,Uncommon,"Keep; If no inventory space, recycle",3x Chemicals,5x for Explosives Station II Upgrade,270,,,,,
Damaged Heat Sink,Rare,Keep until upgrade is complete; sell once done,"6x Metal Parts, 2x Wires",2x for Utility Station II Upgrade,1000,,,,,
Dog Collar,Rare,Keep until upgrade is complete; recycle once done,"8x Fabric, 1x Metal Parts",1x Scrappy for Level II Upgrade,640,,,,,
Duct Tape,Uncommon,Keep,3x Fabric,10x Flickering Flames Stage 3,640,,,,,
Durable Cloth,Uncommon,Keep,6x Fabric,"5x for Medical Lab II Upgrade; 
35x Expedition Stage 2",640,,,,,
Electrical Components,Uncommon,Keep,"3x Plastics Parts, 3x Rubber Parts",10x Gear Bench II and Utility Station II Upgrades; 30x Expedition Stage 2,640,,,,,
Exodus Modules,Epic,Keep,"2x Magnet, 1x Mechanical Components","1x Expedition Stage 3; 
5x for Trophy Display Stage 5",2750,,,,,
Expired Pasta,Common,Keep,,,1000,,,,,
Expired Respirator,Rare,Keep for Trophy Display; Recycle once complete,"8x Rubber Parts, 4x Fabric",3x for Trophy Display Stage 2,640,,,,,
Explosive Compound,Rare,Keep,2x Crude Explosives,5x for Explosives Station III Upgrade,1000,,,,,
Fabric,Common,Keep,,80x for Gear Bench I and Medical Lab I Upgrades,50,,,,,
Fertilizer,Uncommon,Keep for quest; Sell once done,2x Assorted Seeds,1x for Unexpected Initiative,1000,,,,,
Film Reel,Rare,Keep for quest; Sell once done,,"1x Trader Quest Item; 
2x Flickering Flames Stage 3",2000,,,,,
Fireball Burner,Uncommon,Keep until upgrade is complete; recycle once done,"1x ARC Alloy, 1x Crude Explosives",8x for Refiner II Upgrade,640,,,,,
Fried Motherboard,Rare,Keep until upgrade is complete; Sell once done,"5x Plastic Parts, 2x Electrical Components",3x for Utility Station III Upgrade,2000,,,,,
Geiger Counter,Epic,"Keep for Trophy Display; 
Recycle if short on materials; 
Sell otherwise","3x Battery, 1x Exodus Modules",3x for Trophy Display Stage 5,3500,,,,,
Great Mullein,Uncommon,Keep,2x Assorted Seeds,,300,,,,,
Heavy Gun Parts,Rare,Keep,2x Simple Gun Parts,,700,,,,,
Hornet Driver,Rare,"Keep for upgrade and Trophy Display; recycle once done
(Sell if excess)","2x ARC Alloy, 2x Electrical Components","5x for Gear Bench II Upgrade; 
15x for Trophy Display Stage 2",2000,,,,,
Humidifier,Rare,KEEP FOR EXPEDITION MATS; Recycle after,"2x Canister, 2x Wires",5x Expedition Stage 4,1000,,,,,
Laboratory Reagents,Rare,Keep until upgrade is complete; recycle once done,"16x Chemicals, 3x Crude Explosives",3x for Explosives Station III Upgrade,2000,,,,,
Leaper Pulse Unit,Epic,KEEP FOR EXPEDITION MATS; Recycle after,"3x Arc Alloy, 2x Advanced Mechanical Components","4x for Utility Station III Upgrade; 
3x Expedition Stage 4; 
10x for Trophy Display Stage 3",5000,,,,,
Lemon,Uncommon,Keep until upgrade is complete; sell once done,3x Assorted Seeds,5x for Scrappy Level III Upgrade,640,,,,,
Light Bulb,Uncommon,KEEP FOR EXPEDITION MATS; Sell after,,"5x Expedition Stage 3; 
3x Flickering Flames Stage 2",2000,,,,,
Light Gun Parts,Rare,Keep,2x Simple Gun Parts,,700,,,,,
Magnet,Uncommon,Keep,2x Metal Parts,,300,,,,,
Magnetic Accelerator,Epic,"Keep for high-tier crafting and Trophy Display; 
Sell if excess","1x Advanced Mechanical Components, 1x ARC Motion Core",10x for Trophy Display Stage 4,5500,,,,,
Matriarch Reactor,Legendary,"Keep for high-tier crafting and Trophy Display; 
Sell if excess","1x Power Rod, 1x Magnetic Accelerator",3x for Trophy Display Stage 5,13000,,,,,
Mechanical Components,Uncommon,Keep,"3x Metal Parts, 2x Rubber Parts",5x for Gunsmith II Upgrade,640,,,,,
Medium Gun Parts,Rare,Keep,2x Simple Gun Parts,,700,,,,,
Metal Parts,Common,Keep,,"80x for Gunsmith I and Refiner I Upgrades; 
150x Expedition Stage 1",75,,,,,
Mod Components,Rare,Keep,"1x Mechanical Components, 1x Steel Spring",,1750,,,,,
Moss,Rare,Keep for defib; recycle after,3x Assorted Seeds,Medical Lab: Defibrillator,500,,,,,
Motor,Rare,Keep until upgrade is complete; sell once done,"2x Oil, 2x Mechanical Components",3x for Refiner III Upgrade,2000,,,,,
Mushroom,Common,Keep until upgrade is complete; sell once done,,12x for Scrappy Level V Upgrade,1000,,,,,
Oil,Uncommon,Keep,3x Chemicals,,300,,,,,
Olives,Uncommon,Keep until upgrade is complete; sell once done,2x Assorted Seeds,6x for Scrappy Level IV Upgrade,640,,,,,
Plastic Parts,Common,Keep,,"75x for Gear Bench I and Utility Station I Upgrades; 
25x Flickering Flames Stage 1",60,,,,,
Pop Trigger,Common,Keep for Trophy Display; Recycle after upgrade and quest is done,"1x Crude Explosives, 1x ARC Alloy","5x for Explosives Station II Upgrade; 
15x for Trophy Display for Stage 1",640,,,,,
Power Rod,Epic,"Keep for high-tier crafting; if excess, sell","1x Advanced Electrical Components, 1x ARC Circuitry",,5500,,,,,
Prickly Pear,Uncommon,Keep until upgrade is complete; sell once done,,8x for Scrappy Level IV Upgrade,640,,,,,
Processor,Rare,Keep,"1x Wires, 1x Plastic Parts",,500,,,,,
Queen Reactor,Legendary,"Keep for high-tier crafting and Trophy Display; 
Sell if excess","1x Power Rod, 1x Magnetic Accelerator",3x for Trophy Display Stage 4,13000,,,,,
Rocketeer Driver,Epic,"Keep for upgrade and Trophy Display; 
Sell once done","3x ARC Alloy, 2x Advanced Electrical Components","3x for Explosive Station III Upgrade;
8x for Trophy Display Stage 4",5000,,,,,
Rope,Rare,Keep,5x Fabric,,500,,,,,
Rubber Duck,Common,Sell; maybe keep (see note),,"There might be a quest tied to having rubber ducks, so maybe keep some",1000,,,,,
Rubber Parts,Common,Keep,,"30x for Gunsmith I Upgrade; 
200x Expedition Stage 1",50,,,,,
Rusted Bolts,Uncommon,Keep for Trophy Display; Recycle after,8x Metal Parts,3x for Trophy Display Stage 1,640,,,,,
Rusted Gear,Rare,Keep until upgrade is complete; sell once done,"4x Metal Parts, 2x Mechanical Components",3x for Gunsmith III Upgrade,2000,,,,,
Rusted Shut Medical Kit,Rare,Keep until upgrade is complete; recycle once done,"2x Syringe, 1x Antiseptic",3x for Medical Lab III Upgrade,2000,,,,,
Rusted Tools,Rare,Keep until upgrade is complete; sell once done,"8x Metal Parts, 1x Steel Spring",3x for Gunsmith II Upgrade,1000,,,,,
Sensors,Rare,Keep,"1x Wires, 1x Metal Parts",20x Expedition Stage 2,500,,,,,
Sentinel Firing Core,Rare,Keep until upgrade is complete; sell or recycle once done,"2x ARC Alloy, 3x Mechanical Components",4x for Gunsmith III Upgrade,3000,,,,,
Shredder Gyro,Uncommon,Keep for Trophy Display; Recycle after,"3x Mechanical Components, 3x ARC Alloy",5x for Trophy Display Stage 3,3000,,,,,
Simple Gun Parts,Uncommon,Keep,2x Metals Parts,,330,,,,,
Snitch Scanner,Uncommon,Keep,4x ARC Alloy,6x for Utility Station II Upgrade,2000,,,,,
Speaker Component,Rare,Keep,"2x Plastic Parts, 3x Rubber Parts",,500,,,,,
Spotter Relay,Uncommon,Keep for Trophy Display; Sell once complete,"2x Electrical Components, 1x ARC Alloy",10x for Trophy Display Stage 2,2000,,,,,
Steel Spring,Uncommon,Keep,2x Metal Parts,15x Steel Spring,300,,,,,
Surveyor Vault,Rare,Keep for upgrade and Trophy Display; sell or recycle once done,"2x Mechanical Components, 2x ARC Alloy","5x for Medical Lab III Upgrades; 
5x for Trophy Display Stage 1",2000,,,,,
Synthesised Fuel,Rare,Keep,"1x Oil, 1x Chemicals",3x for Explosives Station II Upgrade,700,,,,,
Syringe,Rare,Keep,"3x Plastic Parts, 2x Chemicals",,500,,,,,
Tick Pod,Uncommon,Keep for upgrade and Trophy Display; sell or recycle once done,"2x Arc Alloy, 2x Chemicals","8x for Medical Lab II Upgrade; 
15x for Trophy Display Stage 1",640,,,,,
Toaster,Rare,Keep until upgrade is complete; recycle otherwise,"5x Plastic Parts, 3x Wires",3x for Refiner II Upgrade,1000,,,,,
Very Comfortable Pillow,Uncommon,Keep for Scrappy Level V Upgrade; sell afterwards,,3x for Scrappy Level V Upgrade,2000,,,,,
Voltage Converter,Rare,Keep,"1x Wires, 1x Rubber Parts",,500,,,,,
Wasp Driver,Rare,Keep for upgrade and Trophy Display; sell or recycle after,"1x ARC Alloy, 1x Electrical Components","8x for Gunsmith II Upgrade; 
20x for Trophy Display Stage 2",1000,,,,,
Water Pump,Rare,Keep until quest is complete; recycle or sell,"4x Metal Parts, 2x Oil",1x for Unexpected Initiative,1000,,,,,
Wires,Uncommon,Keep,2x Rubber Parts,30x Expedition Stage 2,200,,,,,
Rotary Encoder,Rare,Keep; Recycle if short on materials; Sell otherwise,"2x Electrical Components, 2x Processor",1x for Stella Montis,3000,,,,,
Acoustic Guitar,Legendary,Sell,"4x Metal Parts, 6x Wires",,7000,,,,,
Agave,Uncommon,Sell,,,1000,,,,,
Air Freshener,Uncommon,Sell,,,2000,,,,,
ARC Coolant,Rare,Sell,16x Chemicals,,1000,,,,,
Breathtaking Snow Globe,Epic,Sell,,,7000,,,,,
Candleberries,Rare,Sell,,All Stages of Flickering Flames (260x Total),460,,,,,
Coffee Pot,Common,Sell,,,1000,,,,,
Coolant,Rare,Sell,"5x Chemicals, 2x Oil",,1000,,,,,
Damaged Rocketeer Driver,Common,Sell,3x ARC Alloy,,2000,,,,,
Dartboard,Uncommon,Sell,,,2000,,,,,
Doodly Duck,rare,Sell,,,3000,,,,,
Empty Wine Bottle,Common,Sell,,,1000,,,,,
Faded Photograph,Common,Sell,,,640,,,,,
Familiar Duck,Epic,Sell,,,7000,,,,,
Fine Wristwatch,Rare,Sell,,,3000,,,,,
Flashy Duck,Rare,Sell,,,3000,,,,,
Gentle Duck,Uncommon,Sell,,,1000,,,,,
Headphones,Rare,Sell,"7x Rubber Parts, 1x Speaker Components",,1000,,,,,
Lance's Mixtape,Epic,Sell,,,10000,,,,,
Music Album,Rare,Sell,,,3000,,,,,
Music Box,Rare,Sell,,,5000,,,,,
Painted Box,Common,Sell,,,2000,,,,,
Playing Cards,Rare,Sell,,,5000,,,,,
Poster of Natural Wonders,Uncommon,Sell,,,2000,,,,,
Pottery,Uncommon,Sell,,,2000,,,,,
Recorder,Uncommon,Sell,10x Plastic Parts,,1000,,,,,
Red Coral Jewelry,Rare,Sell,,,5000,,,,,
Resin,Common,Sell,,,1000,,,,,
Roots,Uncommon,Sell,1x Assorted Seeds,,640,,,,,
Rosary,Rare,Sell,,,2000,,,,,
Ruined Accordion,Rare,Sell,"18x Rubber Parts, 3x Steel Spring",,2000,,,,,
Silver Teaspoon Set,Rare,Sell,,,3000,,,,,
Statuette,Rare,Sell,,,3000,,,,,
Thermostat,Rare,Sell,"7x Rubber Parts, 1x Sensors",,1000,,,,,
Torn Book,Common,Sell,,,1000,,,,,
Tropical Duck,Uncommon,Sell,,,1000,,,,,
Vase,Rare,Sell,,,3000,,,,,
Volcanic Rock,Common,Sell,,,270,,,,,
Alarm Clock,Rare,Recycle,"6x Plastic Parts, 1x Processor",,1000,,,,,
ARC Flex Rubber,Rare,Recycle if short on materials; Sell otherwise if excess,16x Rubber Parts,,1000,,,,,
ARC Thermo Lining,Rare,Recycle if short on materials; Sell otherwise,16x Fabric,,1000,,,,,
Bicycle Pump,Rare,Recycle,"4x Canister, 10x Metal Parts",,2000,,,,,
Broken Flashlight,Rare,Recycle,"2x Battery, 6x Metal Parts",,1000,,,,,
Broken Guidance System,Rare,Recycle,4x Processor,,2000,,,,,
Broken Handheld Radio,Rare,Recycle,"3x Sensors, 2x Wires",,2000,,,,,
Broken Taser,Rare,Recycle,"2x Battery, 2x Wires",,1000,,,,,
Burned ARC Circuitry,Uncommon,Recycle,2x ARC Alloy,,640,,,,,
Camera Lens,Uncommon,Recycle,8x Plastic Parts,,640,,,,,
Candle Holder,Uncommon,Recycle,8x Metal Parts,,640,,,,,
Cooling Coil,Rare,Recycle,"6x Chemicals, 2x Steel Springs",,1000,,,,,
Crumpled Plastic Bottle,Uncommon,Recycle,4x Plastic Parts,,270,,,,,
Damaged ARC Motion Core,Uncommon,Recycle,2x ARC Alloy,,640,,,,,
Damaged Fireball Burner,Common,Recycle,1x ARC Alloy,,270,,,,,
Damaged Hornet Driver,Common,Recycle,2x ARC Alloy,,640,,,,,
Damaged Tick Pod,Common,Recycle,1x ARC Alloy,,270,,,,,
Deflated Football,Uncommon,Recycle,"9x Rubber Parts, 9x Fabric",,1000,,,,,
Degraded ARC Rubber,Uncommon,Recycle,11x Rubber Parts,,640,,,,,
Diving Goggles,Rare,Recycle,12x Rubber Parts,,640,,,,,
Dried-Out ARC Resin,Uncommon,Recycle,9x Plastic Parts,,640,,,,,
Flow Controller,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 1x Sensors",,3000,,,,,
Fossilized Lightning,Epic,Sell; recycle if short on materials,,,4000,,,,,
Frequency Modulation Box,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Speaker Component",,3000,,,,,
Frying Pan,Rare,Recycle,8x Metal Parts,,640,,,,,
Garlic Press,Uncommon,Recycle if short on materials; Sell otherwise,12x Metal Parts,,1000,,,,,
Household Cleaner,Uncommon,Recycle,11x Chemicals,,640,,,,,
Ice Cream Scooper,Uncommon,Recycle,7x Metal Parts,,640,,,,,
Impure ARC Coolant,Uncommon,Recycle,12x Chemicals,,640,,,,,
Industrial Battery,Rare,Recycle if short on materials; Sell otherwise,"7x Chemicals, 2x Battery","3x for Gear Bench III Upgrade; 
1x Flickering Flames Stage 2",1000,,,,,
Industrial Charger,Rare,Recycle if short on materials; Sell otherwise,"5x Metal Parts, 1x Voltage Converter",,1000,,,,,
Industrial Magnet,Rare,Recycle if short on materials; Sell otherwise,"4x Metal Parts, 2x Magnet",,1000,,,,,
Ion Sputter,Epic,Recycle if short on materials; Sell otherwise,"4x Voltage Converter, 1x Exodus Modules",,6000,,,,,
Magnetron,Epic,Recycle if short on materials; Sell otherwise,"1x Magnetic Accelerator, 1x Steel Spring",,6000,,,,,
Metal Brackets,Uncommon,Recycle if short on materials; Sell otherwise,8x Metal Parts,,640,,,,,
Microscope,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 3x Magnet",,3000,,,,,
Mini Centrifuge,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Mechanical Components, 2x Canister",,3000,,,,,
Number Plate,Uncommon,Recycle,3x Metal Parts,,270,,,,,
Polluted Air Filter,Rare,Recycle if short on materials; Sell otherwise,"6x Fabric, 2x Oil",,1000,,,,,
Portable TV,Rare,Recycle if short on materials; Sell otherwise,"6x Wires, 2x Battery",,2000,,,,,
Power Bank,Rare,Recycle if short on materials; Sell otherwise,"2x Battery, 2x Wires",,,,,,,
Power Cable,Rare,Recycle,4x Wires,3x for Gear Bench II Upgrade,1000,,,,,
Projector,Rare,Recycle if short on materials; Sell otherwise,"2x Wires, 1x Processor",,1000,,,,,
Radio,Rare,Recycle if short on materials; Sell otherwise,"1x Speaker Component, 1x Sensors",,1000,,,,,
Radio Relay,Rare,Recycle if short on materials; Sell otherwise,"2x Speaker Componets, 2x Sensors",,3000,,,,,
Remote Control,Rare,Recycle if short on materials; Sell otherwise,"7x Plastic Parts, 1x Sensors",,1000,,,,,
Ripped Safety Vest,Uncommon,Recycle,"1x Durable Cloth, 1x Magnet",,1000,,,,,
Rocket Thruster,Rare,"Recycle if low on Metal Parts, otherwise sell","6x Metal Parts, 2x Synthesized Fuel",,2000,,,,,
Rubber Pad,Rare,Recycle if short on materials; Sell otherwise,18x Rubber Parts,,1000,,,,,
Ruined Baton,Uncommon,Recycle,"6x Metal Parts, 3x Rubber Parts",,640,,,,,
Ruined Handcuffs,Uncommon,Recycle,8x Metal Parts,,640,,,,,
Ruined Parachute,Uncommon,Recycle,10x Fabric,,640,,,,,
Ruined Riot Shield,Rare,Recycle if short on materials; Sell otherwise,"10x Plastic Parts, 6x Rubber Parts",,1000,,,,,
Ruined Tactical Vest,Uncommon,Recycle,"5x Fabric, 1x Magnet",,640,,,,,
Rusty ARC Steel,Uncommon,Recycle,8x Metal Parts,,640,,,,,
Sample Cleaner,Rare,Recycle if short on materials; Sell otherwise,"2x Electrical Components, 14x Assorted Seeds",,3000,,,,,
Signal Amplifier,Rare,Recycle if short on materials; Sell otherwise,"2x Electrical Components, 2x Voltage Converter",,3000,,,,,
Spectrometer,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Sensors",,3000,,,,,
Spectrum Analyzer,Epic,Recycle if short on materials; Sell otherwise,"1x Sensors, 1x Exodus Modules",,3500,,,,,
Spring Cushion,Rare,Recycle if short on materials; Sell otherwise,"2x Durable Cloth, 2x Steel Springs",,2000,,,,,
Tattered ARC Lining,Uncommon,Recycle if short on materials; Sell otherwise,12x Fabric,,640,,,,,
Tattered Clothes,Uncommon,Recycle,11x Fabric,,640,,,,,
Telemetry Transceiver,Rare,Recycle if short on materials; Sell otherwise,"1x Advanced Electrical Components, 1x Processor",,3000,,,,,
Torn Blanket,Rare,Recycle,12x Fabric,,640,,,,,
Turbo Pump,Rare,Recycle if short on materials; Sell otherwise,"1x Mechanical Components, 3x Oil",,2000,,,,,
Unusable Weapon,Rare,Recycle if short on materials; Sell otherwise,"4x Metal Parts, 5x Simple Gun Parts",,2000,,,,,
Water Filter,Rare,Recycle if short on materials; Sell otherwise,"2x Rubber Parts, 3x Canister",,1000,,,,,
